	title	subtitle	level	links
74	Bitcoin Core - Vue d'ensemble	1. Origines - la préhistoire de Bitcoin	Niveau 1	{'La Préhistoire de Bitcoin: illustration\xa0  EN \xa0 FR (Découvre Bitcoin)': 'https://btctouchpoint.com/wp-content/uploads/2022/12/Prehistory-of-bitcoin.jpg', 'La préhistoire de Bitcoin - Bitcoin 101 - Académie Découvre Bitcoin': 'https://www.youtube.com/watch?v=ljHLhTzrLsw'}
75	Bitcoin Core - Vue d'ensemble	1. Origines - la préhistoire de Bitcoin	Niveau 2	"{'Reason TV (2021). Cypherpunks Write Code': 'https://www.youtube.com/watch?v=9vM0oIEhMag&t=2s', 'Les grandes dates de Bitcoin - Bitcoin.fr': 'https://bitcoin.fr/Histoire/', 'Yorick de Mombynes (2018).\xa0 Les racines philosophiques du bitcoin': 'https://yorickdem.medium.com/les-racines-philosophiques-du-bitcoin-17f397e30720', ""Timothy C. May (1992). Manifeste Crypto-Anarchiste - Podcast L'entonnoir du Bitcoin, Découvre Bitcoin"": 'https://decouvrebitcoin.com/la-librairie/articles/article-manifeste-crypto-anarchiste/', ""J.P Barlow (1996). Déclaration d'indépendance du cyberspace - Découvre Bitcoin"": 'https://decouvrebitcoin.com/la-librairie/articles/article-declaration-dindependance-du-cyberespace/', ""E. Hughes(1993). Manifeste d'un cypherpunk - Découvre Bitcoin"": 'https://decouvrebitcoin.com/la-librairie/articles/article-le-manifeste-dun-cypherpunk/'}"
76	Bitcoin Core - Vue d'ensemble	1. Origines - la préhistoire de Bitcoin	Niveau 3	{'Bitcoin Prequel (1): The Legend of Public Keys in the 1970s': 'https://coinyuppie.com/bitcoin-prequel-1-the-legend-of-public-keys-in-the-1970s/', 'Bitcoin Prequel (2): The Origin of Decentralization': 'https://coinyuppie.com/bitcoin-prequel-2-the-origin-of-decentralization/', 'Bitcoin Prequel (3): Crypto Wars in the 90s': 'https://coinyuppie.com/bitcoin-prequel-3-crypto-wars-in-the-90s/'}
77	Bitcoin Core - Vue d'ensemble	2. La découverte : Satoshi Nakamoto, le livre blanc	Niveau 1	"{""Rémi Forte et Julien Goetz (2021). Le mystère Satoshi : enquête sur l'inventeur du bitcoin. ARTE"": 'https://www.youtube.com/watch?v=0ETcLj5jBy4', 'Le lancement de Bitcoin - Bitcoin 101 - Académie Découvre Bitcoin': 'https://www.youtube.com/watch?v=GdeLB39QdUQ', ""Phil Champagne (2022). Satoshi a changé l'histoire"": 'https://www.youtube.com/watch?v=vq4IO6uNjkA', 'Jack Dorsey (2022). The virtues of pseudonymity': 'https://btctouchpoint.com/wp-content/uploads/2023/03/Jack-Dorsey-The-importance-of-the-pseudonimity.mp4'}"
78	Bitcoin Core - Vue d'ensemble	2. La découverte : Satoshi Nakamoto, le livre blanc	Niveau 2	"{'CryptoJon (2022). Je Vous Explique Le Whitepaper de Bitcoin -\xa0 Simplement': 'https://www.youtube.com/watch?v=kM0NWtylWfA&t=367s', 'Anil (202?). Bitcoin white paper deconstructed': 'https://twitter.com/anilsaidso/status/1399039422192971781?s=20&t=keX_nGGuhQoY5HscZNigKg', ""R. Forte, C. Balva, et Y. de Mombynes (2022). Table ronde autour documentaire Le Mystère Satoshi - Surfin'22"": 'https://www.youtube.com/watch?v=yhZ9IPDd0iA&t=95s', 'Satoshi Nakamoto (31/10/2008).\xa0 Bitcoin : un système de paiement électronique pair-à-pair (Trad. fr. du livre blanc - bitcoin.org/bitcoin.pdf - par Arnaud-François Fausse)': 'https://bitcoin.org/files/bitcoin-paper/bitcoin_fr.pdf'}"
79	Bitcoin Core - Vue d'ensemble	3. Aperçu général du fonctionnement de Bitcoin	Niveau 1	"{'Bitcoin le B.A.-BA - BTC Touchpoint': 'https://btctouchpoint.com/fr/premiers-pas/bitcoin-le-b-a-ba/?preview_id=17665&preview_nonce=4638ad351b&preview=true', ""Schéma simplifié d'une transaction Bitcoin\xa0 entre Pierre et Amélie"": 'https://btctouchpoint.com/wp-content/uploads/2023/01/Schema-simplifie-dune-transaction-Bitcoin-1.jpg', 'A Bitcoin Transaction - Bitcoiner.guide': 'https://btctouchpoint.com/wp-content/uploads/2023/05/A-basic-transaction-QA.png', 'David St-Onge (2022) Inventons ensemble Bitcoin ! Doodling Bitcoin #3': 'https://www.youtube.com/watch?v=tNS9uwf5Vcg', ""David St-Onge (2022) Qu'est ce qui donne sa valeur à Bitcoin ? - Doodling #4"": 'https://www.youtube.com/watch?v=67NTtR3ojw4&list=PLBZcInMWLysciaousXNQmSZgLR6O0ROd5&index=5', 'David St-Onge (2022) Clés, portefeuille et transactions - Doodling Bitcoin #5': 'https://www.youtube.com/watch?v=y-w4oDIEf2w&list=PLBZcInMWLysciaousXNQmSZgLR6O0ROd5&index=6'}"
80	Bitcoin Core - Vue d'ensemble	3. Aperçu général du fonctionnement de Bitcoin	Niveau 2	"{""Schéma détaillé d'une transaction Bitcoin\xa0 entre Robert et Josiane. Bitcoin.fr"": 'https://bitcoin.fr/fonctionnement/', 'Loïc Morel/Bitstack (2023). Comment fonctionne Bitcoin ?': 'https://anchor.fm/bitstack/episodes/Comment-fonctionne-Bitcoin-e1t1rbv', 'Comment fonctionne Bitcoin : chaine de blocs, transaction, minage.Bitcoin.fr': 'https://bitcoin.fr/comment-fonctionne-bitcoin/', '21 millions de bitcoins - Bitcoin 101 - Académie Découvre Bitcoin': 'https://www.youtube.com/watch?v=Y92R4EWk5uo', 'Wicked (2023). Visualizing Bitcoin issuance.': 'https://twitter.com/w_s_bitcoin/status/1645071254234226694?s=20', ""Explication d'une transaction - Bitcoin 101 - Académie Découvre Bitcoin"": 'https://www.youtube.com/watch?v=GJlUqtGzxLk&t=2s', 'Comment fonctionne Bitcoin techniquement lvl 2.1 Découvre Bitcoin': 'https://www.youtube.com/watch?v=29mGnu_9IkI&list=PLinTFKehfR4yOM86i_sWI3EwWaI6CSOPm', 'Ted Stevenot (2023). How many bitcoin are there? Unchained': 'https://unchained.com/blog/how-many-bitcoin-are-there/', 'Stephen Hall (2023). What is a bitcoin seed phrase and how does it work? Unchained': 'https://unchained.com/blog/what-is-a-bitcoin-seed-phrase/', 'UTXO -Bitcoiner.guide': 'https://btctouchpoint.com/wp-content/uploads/2023/05/UTXO-QA.jpg', 'John Carvalho (2023). ""Transactions"" and ""settlements""...are misnamed': 'https://twitter.com/BitcoinErrorLog/status/1600273595388743681', 'Gigi (2018). 21 Leçons Partie III - Technologie': 'https://btctouchpoint.com/fr/21-lecons-3eme-partie/'}"
81	Bitcoin Core - Vue d'ensemble	3. Aperçu général du fonctionnement de Bitcoin	Niveau 3	"{'Satoshi Nakamoto ( 31/10/2008). Bitcoin : un système de paiement électronique pair-à-pair (Trad. A-F Fausse )': 'https://bitcoin.org/files/bitcoin-paper/bitcoin_fr.pdf', ""Andréas Antonopoulos (2015, trad. 2020). Au coeur du Bitcoin - Programmer la Blockchain ouverte - O'Reilly"": 'https://www.amazon.fr/coeur-Bitcoin-Programmer-Blockchain-collection-ebook/dp/B085TRD933/ref=sr_1_2?qid=1673011152&refinements=p_27%3AAndreas+Antonopoulos&s=digital-text&sr=1-2&text=Andreas+Antonopoulos', 'CPFP Transaction -Bitcoiner.guide': 'https://btctouchpoint.com/wp-content/uploads/2023/05/CPFP-Transaction-QA.png', 'Bitcoin Illustrated (2023). Block size vs block weight in 4 slides.': 'https://twitter.com/BTCillustrated/status/1659287741664751616'}"
82	Bitcoin Core - Vue d'ensemble	4. Prix, processus d'adoption et hyperbitcoinization	Niveau 1	{'Loïc Morel (2023). Comment est déterminé le prix du bitcoin ? Bitstack': 'https://www.bitstack-app.com/blog/determiner-prix-bitcoin', 'Le Prix de Bitcoin (2022). Bitcoin 101 Académie Découvre Bitcoin': 'https://www.youtube.com/watch?v=7535MAeHzxM&t=744s', 'Cours historique  - Nbre de jours par gamme de prix  - Chandelles annuelles\xa0 \xa0-\xa0Valorisation boursière  (P. Rochard)': 'https://btctouchpoint.com/wp-content/uploads/2023/01/BTC-Price-History-log-scale-@Chartsbtc-FR.png', 'BTC/USD - Heure de Moscou ! Sats/USD BlockClockmini': 'https://blockclockmini.com/', 'ChartsBTC -\xa0 Tableaux et graphiques sur le cours du bitcoin': 'https://twitter.com/ChartsBtc', 'Richard (2022). Bitcoin Pump It Up Remix': 'https://www.youtube.com/watch?v=Hxo4S66POH4&list=PLj9lDruPFtBljCFcLcoD3bd5pGUGmHZWV&index=5', 'BTCTwiter -\xa0 to the Moon !': 'https://twitter.com/btctwiter/status/1614068536472928256'}
83	Bitcoin Core - Vue d'ensemble	4. Prix, processus d'adoption et hyperbitcoinization	Le prix de Bitcoin	"{""Courbes d'adoption du bitcoin \xa0 \xa0 - Nbre d'adresses par montant\xa0 \xa0- Adoption : croissance hyperbolique"": 'https://btctouchpoint.com/wp-content/uploads/2023/01/Courbes-dadoption-Bitcoin-Swan.jpg', 'Le Futur de Bitcoin - Hyperbitcoinisation (2020). Bitcoin 101 - ADB': 'https://www.youtube.com/watch?v=qMKrMKfmqC4', ""Goku (2023). Le gouverneur de l'Indonésie, Ridwan Kamil, annonce que le pays est totalement ouvert à Bitcoin."": 'https://twitter.com/Crypto__Goku/status/1660159132547141632?s=20', 'Francis Pouliot (2023). Bhutan spent 5% of its GDP to buy Bitcoin miners.': 'https://twitter.com/francispouliot_/status/1652814707353440256', 'Vignesh Karunanidhi (2023). Russia Unveils New Payment System That Enables Unrestricted Cross-Border Crypto Use. Watcher Guru': 'https://watcher.guru/news/russia-unveils-new-payment-system-that-enables-unrestricted-cross-border-crypto-use', 'Russian Central Bank Governor (2023). ""Ready"" to give businesses the opportunity to settle foreign trade in Bitcoin and crypto.""': 'https://twitter.com/BitcoinMagazine/status/1650843758697623552', ""L'hostilité des régulateurs africains au sujet du Bitcoin et des cryptos n'a pas énormément d'impact sur l'adoption. L'Afrique parle Bitcoin."": 'https://twitter.com/Afrique_Bitcoin/status/1617518108939517955?s=20&t=Wyu7Ze4o9nGXNHQJEjZ6_w', ""G. Goualard (2021). El Salvador préambule d'une rév. monétaire globale?GAC"": 'https://www.youtube.com/watch?v=QfCODQ6WNrk', 'Richard Détente (2022). Des bitcoiners partent en RCA! GAC.': 'https://www.youtube.com/watch?v=JOyq-CvkV2I', 'Crypto Week (2022). L’expérience d’adoption de Madeira prend son envol': 'https://cryptoweek.fr/lexperience-dadoption-de-madeira-bitcoin-prend-son-envol', ""Anthony Bassetto (2022). Suisse : la ville de Lugano adopte le Bitcoin (BTC), l'USDT et le LVGA comme monnaies légales. Cryptoast.fr"": 'https://cryptoast.fr/suisse-lugano-adopte-bitcoin-usdt-lvga-monnaies-legales/', 'Florent David (2021). Le canton suisse de Zoug accepte désormais le Bitcoin (BTC) et l’Ether (ETH) pour le paiement des impôts. Clubic': 'https://www.clubic.com/antivirus-securite-informatique/cryptage-cryptographie/crypto-monnaie/actualite-362286-le-canton-suisse-de-zoug-accepte-desormais-le-bitcoin-btc-et-l-ether-eth-pour-le-paiement-des-impots.html', 'Bitcoin Archive (2023). Liechtenstein to accept Bitcoin as legal tender for government services.': 'https://twitter.com/BTC_Archive/status/1655288269121245188'}"
84	Bitcoin Core - Vue d'ensemble	4. Prix, processus d'adoption et hyperbitcoinization	Adoption de Bitcoin	"{""Croesus (2023). Bitcoin's halving supply shock ."": 'https://twitter.com/Croesus_BTC/status/1319734166557081600', 'Croesus (2023). Valorisation du plein potentiel du bitcoin -': 'https://btctouchpoint.com/fr/croesus-valorisation-du-plein-potentiel-du-bitcoin/', 'Ioni Appelberg (2020). Bitcoin to 100,000,000 dollars?': 'https://www.youtube.com/watch?v=csGEhR7JNVU', 'Michel Khazzaka (2023). Un nouveau papier sur la valeur de Bitcoin. GAC': 'https://www.youtube.com/watch?v=WvTsda-Cb08'}"
85	Bitcoin Core - Vue d'ensemble	4. Prix, processus d'adoption et hyperbitcoinization	Niveau 2	{'Vijay Boyapati (2018). Un scénario optimiste pour Bitcoin -': 'https://btctouchpoint.com/scenario-optimiste-pour-bitcoin/', 'Croesus (2023). the normal distribution of technology adopters.': 'https://twitter.com/Croesus_BTC/status/1271165665236246529', 'Croesus (2023). How early are we?': 'https://twitter.com/Croesus_BTC/status/1326630778785026050', 'Croesus (2021) The Bitcoin Adoption Curve w/ Croesus. Preston Pysh podcast': 'https://www.youtube.com/watch?v=7_sr2hS5KlQ', 'Pierre Rochard (2014). Attaque spéculative': 'https://nakamotoinstitute.org/mempool/speculative-attack/fr/', 'Daniel Krawisz (2014). Hyperbitcoinisation': 'https://nakamotoinstitute.org/mempool/hyperbitcoinization/fr/', 'Marty Bent (2023). Hyperbitcoinization starts at the edges': 'https://tftc.io/martys-bent/issue-1338-hyperbitcoinization-starts-at-the-edges/', 'Hornick and Strolight (2021). Bitcoin is Generational Wealth': 'https://www.youtube.com/watch?v=3Rnqst5qCgA', 'Knut Svanholm (2020).You are not prepared': 'https://www.citadel21.com/you-are-not-prepared', 'Andreas Antonopoulos (2018). Hyperbitcoinization': 'https://www.youtube.com/watch?v=AB5MU5fXKfo', 'T. Mogenet (2022). Hyperbitcoinisation : tourner sur un standard BTC? DB': 'https://www.youtube.com/watch?v=nkN2twZ-lJY', 'Gilles Cadignan (2021). Hyperbitcoinisation, toxicité maxis, MNBC. GAC': 'https://www.youtube.com/watch?v=me20cGLXHu0&t=1545s', 'Jeff Booth (2022). The Distribution of Bitcoin After Hyperbitcoinization': 'https://www.youtube.com/watch?v=OcOuTfcJbmI', 'Aleksandar Svetski (2023). The three generations theory: how bitcoin reaches mass adoption in 60 years. Bitcoin Magazine': 'https://bitcoinmagazine.com/culture/bitcoin-reaches-mass-adoption-in-60-years', 'Cory Klippsten (2023). The race to avoid the war. Stephan Livera podcast': 'https://www.youtube.com/watch?v=JoqVbeMqE9E'}
86	Bitcoin Core - Vue d'ensemble	4. Prix, processus d'adoption et hyperbitcoinization	Prix	{'ObiWan Kenobit (2018). Hyperbitcoinization: Winner Takes All': 'https://medium.com/coinmonks/hyperbitcoinization-winner-takes-all-69ab59f9695f'}
87	Bitcoin Core - Vue d'ensemble	5. L'état du système	Niveau 1	"{'Introduction au Mempool': 'https://btctouchpoint.com/wp-content/uploads/2022/11/Its-important-to-run-your-own-@mempool-node-for-security-privacy-and-censorship-resistance.-If.mp4', 'Mempool - Bitcoiner.guide': 'https://btctouchpoint.com/wp-content/uploads/2023/05/Mempool-QA.jpg', 'Bitfeed.live - Visualisation en temps réel de la formation des blocs à partir du mempool': 'https://bitfeed.live/', 'Analyse de la MemPool - LN 202 - ADB': 'https://www.youtube.com/watch?v=0xS859IoMh8', 'TxStreet - Outil de visualisation tres ludique ""child-friendly""': 'https://txstreet.com/v/btc'}"
88	Bitcoin Core - Vue d'ensemble	5. L'état du système	Introduction au Mempool	{'TimechainStats - Statistiques sur Bitcoin': 'https://timechainstats.com/', 'Timechain Calendar - Données clés par bloc.': 'https://timechaincalendar.com/', 'Symphony Explorer 3D Bitcoin Blockchain': 'https://symphony.iohk.io/', 'Autres outils de visualisation de la timechain Bitcoin': 'https://news.bitcoin.com/18-visualizations-bitcoin-network/'}
89	Parties prenantes	1. Qui gouverne Bitcoin ?	Niveau 1	"{""L'industrie du Bitcoin - LV 2.2. ADB"": 'https://www.youtube.com/watch?v=fcXvjghA-uM&list=PLinTFKehfR4yOM86i_sWI3EwWaI6CSOPm', 'David St-Onge (2022) Mais qui dirige Bitcoin ! Doodling Bitcoin #2': 'https://www.youtube.com/watch?v=Zb1dKNH0amM', 'Qui contrôle Bitcoin. Bitcoin.fr': 'https://bitcoin.fr/qui-controle-bitcoin/', 'Jean-Luc (2021). Qui décide des améliorations de Bitcoin. Bitcoin.fr': 'https://bitcoin.fr/qui-decide-des-ameliorations-de-bitcoin/'}"
90	Parties prenantes	1. Qui gouverne Bitcoin ?	Qui contrôle Bitcoin. Bitcoin.fr	{'Loïc Morel (2023). Qui contrôle Bitcoin ? Bitstack': 'https://www.bitstack-app.com/blog/qui-controle-bitcoin', 'Blockchain Révolution (2018). La gouvernance Bitcoin (N. Dorier )': 'https://www.youtube.com/watch?v=d17A3Izolz4&t=109s', 'Pierre Rochard (2018). Bitcoin Governance': 'https://pierre-rochard.medium.com/bitcoin-governance-37e86299470f', 'S. Saurel (2023). Focus on the Real Heroes of the Bitcoin Revolution: Devs': 'https://twitter.com/ssaurel/status/1620832913888796672?s=20&t=ErO8AHdKnEVN8vz4Sx6drw'}
91	Parties prenantes	1. Qui gouverne Bitcoin ?	Niveau 2	{'Faune Radio (2022). Les gouvernances de Bitcoin. Bitcoin Politiquement.': 'https://www.youtube.com/watch?v=D4ObwhTsAko&t=524s', 'Francis Pouliot (2021). Bitcoin Trinité, la gouvernance du réseau, complexe, émergente. Parlons Bitcoin': 'https://www.youtube.com/watch?v=YqMybsi3ZXs', 'Maël Rolland (2019). La gouvernance socio-politique de Bitcoin (1ere partie). Bitcoin.fr': 'https://www.youtube.com/watch?v=iH8TCS6ZKM4', 'Maël Rolland (2019). La gouvernance socio-politique de Bitcoin (2ème partie). Bitcoin.fr': 'https://www.youtube.com/watch?v=LJmj8jcXoxU'}
92	Parties prenantes	2. Focus sur les  noeuds	Niveau 1	{'Les nœuds - Chap 3.3 - Bitcoin 101 . Académie Découvre Bitcoin': 'https://www.youtube.com/watch?v=3vQmDJ4_ooM', 'CryptoJon (2022). Je Fais Tourner Un Nœud Bitcoin (Pourquoi / Comment) ?': 'https://www.youtube.com/watch?v=btUHumjEq-4'}
93	Parties prenantes	2. Focus sur les  noeuds	Level 2	{'Andreas Antonopoulos (2017). Bitcoin Q&A: What is the Role of Nodes?': 'https://www.youtube.com/watch?v=fNk7nYxTOyQ', 'A. Antonopoulos (2021). Do You Run a Bitcoin Full Node?': 'https://www.youtube.com/watch?v=lK-OMq43nxA', 'A. Antonopoulos (2021). Why Running a Node is Important': 'https://www.youtube.com/watch?v=oX0Yrv-6jVs', 'Ted Stevenot (2023). What is a bitcoin node and how does one work? Unchained': 'https://unchained.com/blog/what-is-a-bitcoin-node/'}
94	Parties prenantes	3. Focus sur les  mineurs et la preuve de travail (PoW)	Niveau 1	"{'Tomer Strolight (2020). 4 Pourquoi faut-il à la fois du temps et des efforts pour gagner des bitcoins ?': 'https://btctouchpoint.com/fr/4-pourquoi-il-faut-a-la-fois-du-temps-et-des-efforts-pour-gagner-des-bitcoins/', ""Tomer Strolight (2020). 11 Pourquoi et comment Bitcoin utilise l'énergie ?"": 'https://btctouchpoint.com/fr/pourquoi-bitcoin-11-pourquoi-et-comment-bitcoin-utilise-lenergie/', 'Lightning Ventures (2023). This is the appearance of Bitcoin mining.': 'https://twitter.com/ltngventures/status/1658925471952695297', 'Adam O (2023). 22L natgas generator is so sexy.': 'https://twitter.com/denverbitcoin/status/1660417725573869574', 'Les mineurs - Bitcoin 101 . Académie Découvre Bitcoin': 'https://www.youtube.com/watch?v=Lr5L3uy244w'}"
95	Parties prenantes	3. Focus sur les  mineurs et la preuve de travail (PoW)	Niveau 2	"{""Qu'est-ce que le minage de bitcoin ? Minage 201, part 1. ADB"": 'https://www.youtube.com/watch?v=neEQzEQzmPQ', 'Loïc Morel (2023). Qu’est-ce que la preuve de travail sur Bitcoin ? Bitstack': 'https://anchor.fm/bitstack/episodes/Quest-ce-que-la-preuve-de-travail-sur-Bitcoin---Proof-of-Work-e1taeu8', 'Charles Gave (2022). Reçoit Séb. Gouspillou spécialiste du mining - GAC': 'https://www.youtube.com/watch?v=MtpYX6oREbY', ""S. Gouspillou (2022). Le bitcoin, c'est l'avenir, et il se joue maintenant - GAC"": 'https://www.youtube.com/watch?v=HUmAQiLgf4E', 'Jaran Mellerud (2023). Bitcoin Mining Around the World. Hashrate Index': 'https://hashrateindex.com/blog/tag/bitcoin-mining-around-the-world/', 'CryptoJon (2022). Pourquoi Le PoW Est + Solide Que Le PoS ?': 'https://www.youtube.com/watch?v=AxjUF77pUoc', 'Michael Saylor (2021). Bitcoin’s 7 Layers of Security #1 - WiM': 'https://www.youtube.com/watch?v=RbkLz9C39y0&list=PL2jAZ0x9H0bQFY6wIbQfnrnIlqMcSHd6X&index=14', 'Michael Saylor (2021). Bitcoin’s 7 Layers of Security #2 - WiM': 'https://www.youtube.com/watch?v=WvUE_Yvktwk', ""Alex KaboomRacks (2023). Comprendre l'Augmentation du Taux de Hachage du Réseau Bitcoin. Bitcoin Magazine"": 'https://europeanbitcoiners.com/comprendre-laugmentation-du-taux-de-hachage-du-reseau-bitcoin/', ""Jacques Favier (2022). Une plongée dans l'histoire de la preuve de travail ?"": 'https://www.youtube.com/watch?v=HqNGd_LclCQ'}"
96	Parties prenantes	3. Focus sur les  mineurs et la preuve de travail (PoW)	Charles Gave (2022). Reçoit Séb. Gouspillou spécialiste du mining - GAC	"{""Adam Back (2022). Bitcoin's Proof of Work. Preston Pysh podcast"": 'https://www.youtube.com/watch?v=c9oL9GrgOaw', 'Théo Pantamis (2022) PoW vs, PoS [Crypto 301]\xa0 ADB': 'https://www.youtube.com/watch?v=c9MvtGJsEvY&t=2438s', 'Harry Sudock (2021). Bitcoin Mining Update. Preston Pysh': 'https://www.youtube.com/watch?v=5TZnMWWgolc'}"
97	Parties prenantes	4. Un  secteur  en plein essor	Niveau 1	{'Ritabrata Santra (2023). 100 companies in the Bitcoin mining space': 'https://twitter.com/ritabratasantra/status/1632454000405512192?s=20', 'Adam O (2023). 1000s of these all over North America by end of decade.': 'https://twitter.com/denverbitcoin/status/1656361066492989441'}
98	Parties prenantes	4. Un  secteur  en plein essor	Niveau 2	{'Ritabrata Santra (2023). How Bitcoin Mining is adapting to the energy transition. Bitcoin Magazine': 'https://bitcoinmagazine.com/business/bitcoin-mining-adapts-to-energy-transition'}
99	Réseau Lightning	1.  Fonctionnement du Lightning Network	Niveau 1	{'Introduction au Lightning Network - Bitcoin 101 . ADB': 'https://www.youtube.com/watch?v=HFv3NN4z450', 'Yorick de Mombynes (2021). Lightning Network : paiements illimités à bas coût. SurfinBitcoin21': 'https://www.youtube.com/watch?v=8zo-rCBkSPs', 'A beginners guide to the Lightning Network. Bitcoiner.Guide': 'https://bitcoiner.guide/lightning/fr/', 'Eric Podwojski (2023). The Lightning Network ecosystem': 'https://twitter.com/epodrulz/status/1658086351420391424'}
100	Réseau Lightning	1.  Fonctionnement du Lightning Network	Niveau 2	"{'Eric Podwojski (2023). The Lightning Network & how Bitcoin will scale to become true electronic cash for the world.': 'https://twitter.com/epodrulz/status/1658080308170838016', ""John on Chain (2021). Le Lightning Network : qu'est-ce que c'est et comment ça marche ? Cryptoast"": 'https://www.youtube.com/watch?v=r5aYWwNXJIg', ""Yorick de Mombynes (2021). L’ambitieuse promesse du Lightning network : paiements ultra-rapides et gratuits à l'international - GAC"": 'https://www.youtube.com/watch?v=Yg8VeeD9Mkw', 'Yorick de Mombynes (2021). Comprendre Lightning Network - Inst. Sapiens': 'https://www.institutsapiens.fr/wp-content/uploads/2020/06/Comprendre-le-Lightning-network.pdf', 'F. Michalakis (2021) - Intro théorique au Lightning Network -LN 201- ADB': 'https://academie.decouvrebitcoin.fr/courses/ln-201-introduction-theorique-au-lightning-network/', 'Lightning Course - Emeralize': 'https://emeralize.app/course/2/'}"
101	Réseau Lightning	1.  Fonctionnement du Lightning Network	Niveau 3	"{""Lightning Network Builder's guide."": 'https://docs.lightning.engineering/', ""Tadge Dryja (2022). Une Légende De l'Écosystème ! - GAC"": 'https://www.youtube.com/watch?v=1Q_uoID-BDY', ""Tadge Dryja (2022). Thaddeus present his work : LN network genesis, DLC and utreexo - Surfin' Bitcoin 2022"": 'https://www.youtube.com/watch?v=lMWQrImbQiM', 'Bastien Teinturier (2022). Surchauffe du Lightning Network ?! - GAC': 'https://www.youtube.com/watch?v=1Q_uoID-BDY', ""Bastien Teinturier et Antoine Poinsot (2022). Bitcoin et Lightning : comment participer ? Surfin' Bitcoin 2022"": 'https://www.youtube.com/watch?v=Zg2zLynsoCQ'}"
102	Réseau Lightning	2.  Cas d'usage /applications Lightning	Niveau 1	"{'CryptoJon (2022). Comment Le Réseau Lightning Fera Exploser Bitcoin': 'https://www.youtube.com/watch?v=3Q2Zj6ixAjY', ""Cas d'usage Lightning Network - Bitcoin 101 ADB"": 'https://www.youtube.com/watch?v=_UV2jmQ8TQM', 'Lightning Network in Action: Real-World Use Cases and Applications. Apollo': 'https://learn.heyapollo.com/blog/lightning-network-in-action-real-world-use-cases-and-applications', 'Bitcoin Archive (2023). Lightning Network on exchanges': 'https://twitter.com/BTC_Archive/status/1649770958952038400'}"
103	Réseau Lightning	2.  Cas d'usage /applications Lightning	Niveau 2	{'Urza (2023). I love Lightning Net.: it is fast and the right approach to scaling': 'https://twitter.com/urza_cc/status/1645153138008104961', 'Darthcoin (2022). Regardez tout ce qu’on peut faire sur Lightning !': 'https://decouvrebitcoin.fr/regardez-tout-ce-quon-peut-faire-sur-lightning/', 'Lightning for Creators - Zebedee': 'https://emeralize.app/course/2/resource/12/', 'Pav (2023). Charging Ahead: Why It’s Time for Exchanges to Add Lightning': 'https://medium.com/synonym-to/charging-ahead-why-its-time-for-exchanges-to-add-lightning-54241ac6cf33', 'R. Sheinfeld (2023). We Need More Apps w/ Lightning not More LN Apps': 'https://medium.com/breez-technology/we-need-more-apps-with-lightning-not-more-lightning-apps-b5f37f9ac8bd'}
104	Réseau Lightning	2.  Cas d'usage /applications Lightning	Niveau 3	{'Meyers and Farrington (2022). Bitcoin is Venice: scaling in layers': 'https://bitcoinmagazine.com/culture/bitcoin-is-venice-scaling-layers'}
105	L'écosystème du protocole Bitcoin	1. Vue d'ensemble de l'écosystème	Niveau 1	{'Adam Back (2023). Why Bitcoin uses layer-2s and sidechains. Blockstream': 'https://twitter.com/Blockstream/status/1652822546574868480?s=20', 'Eric Podwojski (2023). The Lightning Network ecosystem': 'https://twitter.com/epodrulz/status/1658086351420391424'}
106	L'écosystème du protocole Bitcoin	1. Vue d'ensemble de l'écosystème	Niveau 2	"{'Ludovic Lars (2022). Sidechains, Drivechains et Bitcoin. Cryptoast.fr': 'https://cryptoast.fr/sidechains-drivechains-bitcoin/', 'E. Awosika (2022). Building apps on top of the Bitcoin protocol. Bitcoin Mag.': 'https://bitcoinmagazine.com/technical/building-applications-on-the-bitcoin-network', ""Niftynei (2023). What happens beyond Bitcoin's second layer?"": 'https://twitter.com/giacomozucco/status/1650998396499402753'}"
107	L'écosystème du protocole Bitcoin	1. Vue d'ensemble de l'écosystème	E. Awosika (2022). Building apps on top of the Bitcoin protocol. Bitcoin Mag.	"{'The Open Source Map of The Bitcoin Protocol Ecosystem. bitcoin_ecosys': 'https://www.ekosys.org/', ""N. Cantu (2022). Besoin énergétique du Bitcoin par layer - Surfin'"": 'https://www.youtube.com/watch?v=8eUWm08OXsw', 'Buildonl2.com The community for Bitcoin builders': 'https://www.buildonl2.com/'}"
108	L'écosystème du protocole Bitcoin	2. Bitcoin Liquid, RGB, RSK	Niveau 2	"{""Samson Mow (2022). Qu'est-ce que le réseau Liquid\xa0? Blockstream"": 'https://www.youtube.com/watch?v=ipBSTuxMlLc', ""Adam Back (2021). What is Bitcoin's Liquid Network? Swan Bitcoin"": 'https://www.youtube.com/watch?v=V7SAiJPkZRo', 'Liquid Network (2023). The Lightning and Liquid networks are different but complementary L2 solutions expanding Bitcoin use cases and accessibility.': 'https://twitter.com/Liquid_BTC/status/1656368712369467392', ""Liquid Network (2023). How to begin exploring Bitcoin's financial layer."": 'https://twitter.com/Liquid_BTC/status/1656705964660211727'}"
