	title	subtitle	level	links
93	Morale	Soif de justice  !	Niveau 1	"{""Grittoshi (2023). Le décalogue de Bitcoin (d'après @TomerStrolight)"": 'https://twitter.com/Grittoshi/status/1613153690306723840?s=20&t=uJXSQQXx4fzB7DRSRTQzlw', 'Der Gigi (2022). Money is just information. Bitcoin is just information': 'https://twitter.com/dergigi/status/1561569104846274562?s=20&t=aV8NROVrKcIvkieH8v2xkg', 'Wicked (2022). With proof of work, the distribution of bitcoin continues to be fair and ethical.': 'https://twitter.com/w_s_bitcoin/status/1602025510229479424?s=20&t=aUrtcrQ9e9Yt8AJYdz0kdQ', 'LanaLightning (2023). Initial distribution of #Bitcoin tokens': 'https://twitter.com/LanaDBTC/status/1646669960926867456', 'Michael Saylor (2023). The freedom lovers, those who worship truth, those optimistic about the future of the humanity...The Wolf Of All Streets': 'https://twitter.com/scottmelker/status/1616380466201780225?s=20&t=kbvk9JsW65btj4kN0oDE3w', 'R. Breedlove (2023). perhaps Bitcoin can help us end this corruptive influence on the human heart.': 'https://twitter.com/Breedlove22/status/1610673044158029825?s=20&t=VSMk_6QdmzCUmOtw4Gkeuw', 'R. Breedlove (2023). There is one time in The Bible when Christ employs coercion: to cast out corrupt moneychangers from the temple.': 'https://twitter.com/Breedlove22/status/1624042490612404224?s=20&t=R39iJHHbadHQEUQo3b8jyQ'}"
94	Morale	Soif de justice  !	Niveau 2	{'Tomer Strolight (2022). The Bitcoin Rule: Do Unto Others and Be Done Unto By Them Only By Mutual Agreement': 'https://tomerstrolight.medium.com/the-bitcoin-rule-do-unto-others-and-be-done-unto-by-them-only-by-mutual-agreement-fc58c5293b93', 'Gigi (2022). Bitcoin-related books on morality. Bitcoin-resources.com': 'https://bitcoin-resources.com/books/categories/morality', 'Bitcoin Makes the World Better. Bitcoin Fixes This': 'https://bitcoinfixesthis.com/', 'Bitcoin_apex (2023). The First Proclamation - Anything that can be controlled by humans will be sooner or later, without exception. The problem: humans are humans.': 'https://twitter.com/bitcoin__apex/status/1616512847336378381?s=20&t=koC24VopzYC6q4aS6meZ5w', 'Sovereign Saxon (2023). Den of thieves - The day the Christ lost his s**t': 'https://twitter.com/sovereignsaxon/status/1621586164053430275?s=20&t=R39iJHHbadHQEUQo3b8jyQ'}
95	Morale	Soif de justice  !	Bitcoin Makes the World Better. Bitcoin Fixes This	{'Jordan B Peterson (2022). Inflation Penalizes Prudence and, In Doing So, Destroys Civilization in Bitcoin as an Incorruptible System of Value. WiM': 'https://www.youtube.com/watch?v=FQlA-I7PXf0&t=4419s'}
96	Référentiel juste	Absolutisme vs. relativisme	Niveau 1	"{""A. Stachtchenko (2023). La mission d'un banquier central n'est pas de dire la vérité, c'est de créer de la confiance"": 'https://twitter.com/StachAlex/status/1653881942687842306', 'M. Odell (2023). In a post-truth world Bitcoin is the only thing that we know is real': 'https://twitter.com/_BitcoinMatrix/status/1612935713569345536?s=20&t=2dsSiUdOU-cruo3eflDIUA', 'Tip_NZ (2022). Truth is Alive': 'https://twitter.com/tip_nz/status/1605624439038541826?s=20&t=vcNb-BOb_QpVxCD_plN2wQ', 'L. Lepard (2023). People left to their own devices will cheat... and here’s a form of monetary economics where you can’t cheat. The Bitcoin Matrix Podcast': 'https://twitter.com/_BitcoinMatrix/status/1610473423276503041?s=20'}"
97	Référentiel juste	Absolutisme vs. relativisme	Niveau 2	{'Robert Breedlove (2022). Defining Truth (and its Antagonism to Fiat) and The Spirit of Truth, the Process of Inquiry, and Freedom of Speech in Bitcoin as an Incorruptible System of Value with Jordan Peterson. WiM': 'https://www.youtube.com/watch?v=FQlA-I7PXf0&t=3350s', 'J. Vallis (2021). Reverence for Truth in Bullish on Bitcoiners. Bitcoin Matrix': 'https://youtu.be/xqqLVXSSGuo?t=1639'}
98	Référentiel juste	Absolutisme vs. relativisme	Niveau 3	"{'Vallis, Breedlove, Cason, et AmericanHodl (2023). ""Bitcoin As The Only ‘True’ Signal In The World Today"" in Hodl Hang #8: The Banking Crisis, $1M Bitcoin Bet, Nostr, The Future of Politics & More': 'https://www.youtube.com/watch?v=jfvizZd3LUM&t=1225s', 'Gigi (2022). Truth, not authority creates legitimacy in Cryptography is Not Enough - Baltic HB 2022': 'https://www.youtube.com/watch?v=C7ynm0Zkwfk&t=1140s'}"
99	Culture financière pour tous	Soucieux de combler le déficit critique  d'éducation financière	Niveau 1	{'Gigi (2018). Leçon #8 - La méconnaissance financière dans 21 Leçons': 'https://btctouchpoint.com/fr/21-lecons-2eme-partie/', 'Y. de Mombynes (2023). Et si on encadrait les influenceurs anti-cryptos ?': 'https://twitter.com/ydemombynes/status/1648212263243853832', 'Giacomo Zucco (2022 ). KYC laws mean you don’t understand economics. The whole point for money is that you don’t have to know your customer.': 'https://twitter.com/PeterRei_/status/1660265270458425345', 'Bitcoin Magazine (2023). Bitcoin is freedom': 'https://twitter.com/BitcoinMagazine/status/1623390990357733378?s=20&t=aV8NROVrKcIvkieH8v2xkg', 'Prima.net/mtc (2023). It is a moral duty of a society to amputate limbs that are killing the rest of body.': 'https://twitter.com/GhostofMTC/status/1638544217101221891', 'Tuur Demeester (2023). Satoshi mentions fractional reserve banking...in his very first public announcement.': 'https://twitter.com/TuurDemeester/status/1634752058552369152?s=20', 'IBEX (2023). A Sly Roundabout Way. Swan Bitcoin': 'https://www.youtube.com/watch?v=8-tZGwmOOGI'}
100	Culture financière pour tous	Soucieux de combler le déficit critique  d'éducation financière	Niveau 2	"{""Anil (2022). Bitcoin et l'imprimerie (in extenso)"": 'https://btctouchpoint.com/fr/bitcoin-et-limprimerie/', 'Tomer Strolight (2021). Bitcoin Taught Me How to Teach': 'https://tomerstrolight.medium.com/bitcoin-taught-me-how-to-teach-e8607fc2d29', 'Francois Remy (2022). « Avec le bitcoin, je combats le dernier privilège des riches : l’inculture financière généralisée ». Business AM': 'https://fr.businessam.be/avec-le-bitcoin-je-combats-le-dernier-privilege-des-riches-linculture-financiere-generalisee/?utm_source=dlvr.it&utm_medium=twitter', 'Der Gigi (2021). Chère famille, chers amis, Une lettre pour tous ceux d’entre vous qui n’ont toujours pas de Bitcoin.': 'https://medium.com/@bitcoinfrenched/ch%C3%A8re-famille-chers-amis-d30548df1f5a', 'R. Breedlove (2023). The hard truth about fiat currency from the author of one of the most important books ever written—The Creature from Jekyll Island.': 'https://twitter.com/Breedlove22/status/1638737716044271616?s=20'}"
101	Stoïcisme	Courage, persévérance, abnégation, endurance, conviction...	Niveau 1	"{""L. Lepard (2023). These Bitcoin guys are charging up the hill w/ a sharper spear & we're going to kill this fiat monster."": 'https://twitter.com/_BitcoinMatrix/status/1610408751709802497', 'Hodlnaut 13%er (2023). The nine principles of the Viking honor system: Bitcoin compatible': 'https://twitter.com/hodlonaut/status/1621861084306046976?s=20', 'Carl ₿ MENGER (2023). Bitcoin conferences in 2023: Damn bear market': 'https://twitter.com/CarlBMenger/status/1615429668684849154?s=20&t=6NdL_5RHNo6NliWfb7bY-Q', 'T Callahan (2023). When your car starts making noises that sound expensive': 'https://twitter.com/CooliganFields/status/1615869175918137344?s=20&t=fx2THPBO4zdxOZVBiP5EVg', 'Naiive (2023). Bitcoin': 'https://twitter.com/naiivememe/status/1620776829811572737?s=20&t=1zVI7jrFZWbIGDeVHf57lg', 'Tuur Demeester (2023). We are in the early stages of a cultural shift that has asceticism as one of its core tenets.': 'https://twitter.com/TuurDemeester/status/1613279601861476355?s=20&t=j8MKNJI3Vw5gIl1qq05Gqw'}"
102	Stoïcisme	Courage, persévérance, abnégation, endurance, conviction...	Niveau 2	{'Tomer Strolight (2021). Don’t Tell Me There Are No Heroes In Bitcoin': 'https://tomerstrolight.medium.com/dont-tell-me-there-are-no-heroes-in-bitcoin-ca11fd7faccb', 'Marty Bent (2023). Telling the truth will have asymmetric returns over this decade': 'https://tftc.io/martys-bent/issue-1344/', 'Brian Roemmele (2020). Humanity is currently in the “belly of the Whale/Dark night of the soul” part of the cycle...': 'https://twitter.com/BrianRoemmele/status/1306421794555928576?s=20&t=_fn0A_Z21lefY2KCVQ8HXQ'}
